,position,company,description,reviews,location,Latitude,Longitude
0,Data Scientist,Xpert Staffing,"Growing company located in the Atlanta, GA area is currently looking to add a Data Scientist to their team. The Data Scientist will analyze business level data to produce actionable insights utilizing analytics tools and languages, etc. R, Python and/or C++: The Data Scientist will serve as the organization’s leader, helping to grow their data science initiative from a green state. The Data Scientist will also be responsible for advancement of analytical projects from inception to delivery and beyond.
RESPONSIBLITIES;
 1. Leverage Big Data to discover patterns and solve strategic and tactical business problems using massive structured and unstructured data sets across multiple environments
 2. Develop analytical capabilities (modeling and processes) that drive better outcomes for both customers and the company
 3. Drive the collection, cleansing, processing and analysis of new and existing data sources.
 4. Research industry topics impacting opportunities relevant for data analysis projects
 5. Execute complex analyses to aid in reporting and interpretation of analytical findings to build a comprehensive solution.
 6. Demonstrates good judgment and analytical skills to conduct option analysis and present recommendations
 7. Support and resolve issues related to analyses or deliverable in production
 8. Works with internal and external clients to understand, clarify, and analyze requirements to understand the business, and potential, impactful solutions
 9. Mapping of processes to understand opportunities for advanced analytics and product enhancement


Requirements:
5. 1. BA/BS Degree in Business Analysis, Computer Science, Economics, Data Science. Masters degree preferred
 2. 5+ years of Predictive Analytics, Statistical Modeling, Machine Learning a plus
 3. Expect level understanding of analytics tools and language (R, Python, or C++ etc.)
 4. Experienced in Business Analysis, requirement definition
 5. Proven and recent experience working with Sales, Marketing, Supply Chain, and/or Manufacturing Data
 6. Able to navigate and access structured and unstructured data environments (i.e. Hadoop, Oracle, SQL etc)
 7. Experience utilizing internal and external data sources to identify otherwise hidden industry trends to impact product development
 8. Exposure to visualization tools, Tableau/QlikSense
 9. Must be solution-oriented and focused on innovation.
 10. Familiar with scripting language: e.g. Perl, Python or a programming language: e.g. Java
 

To express interest in this position, please Email Resume in MS-Word or .pdf format and attach cover letter with Salary requirements and contact information. Please be sure to reference Job #2093.
 NO SPONSORSHIP AVAILABLE!


Location: Atlanta, GA

Type: Permanent

Salary: $$,$$$ / DOE",,"Atlanta, GA",33.7489954,-84.3879824
1,Data Scientist,Cotiviti,"Cotiviti is looking for an industry leading Data Scientist to join a revolution in Healthcare and build a first-in-market analytics capability. This is a pioneering data scientist who will participate in expanding the new analytics backbone of the company. Cotiviti’s first-in-market analytics capability is powered by social networking technology and enables a more efficient experience for both healthcare providers and customers. As a Data Scientist at Cotiviti you will be given the opportunity to work directly with a team of healthcare professionals including analysts, clinicians, coding specialists, auditors and innovators to set aggressive goals and execute on them with the team. This is for an ambitious technologist with the guts, flexibility, and personal drive to succeed in a dynamic environment.

Who You Are

Curious: You enjoy peeling apart a problem and examining the interrelationships between data that may appear superficially unrelated.
Creative: You constantly invent and try new approaches to solving problems, which often times have never been applied in such contexts before.
Practical: You explore theories with an eye to the real world application to the business and the potential for improving performance for clients and customers.
Focused: You're intent on designing and testing a technique over periods of days and weeks, discovering what is successful and what should be optimized further. Furthermore, you learn from the failure and trying again.
Determined: You will have both the challenge and opportunity to help design our analytical backend from the ground-up, and therefore must be comfortable as both a team member and a leader in our data science effort.
What You Will be Doing
You will build innovative tools to provide our clients with insights on how to improve their business. You will have responsibility for architecting and developing best-in-class analytics that create quantifiable value for our business. You will have responsibility for establishing and sustaining processes and practices that support big data and analytics solutions and applications in an open source environment. You should have a passion for creating solutions and driving innovation with an interest in collaborating with team members. This role demands time spent working independently and as part of a team. You will also focus on specific deadlines defined by the management team.

Function as Data Scientist which carries the expectation to enhance an SaaS platform that integrates both relational and non-relational databases at scale with both algorithmic logic and front-end interfaces.
Participate in product development with leadership team meetings and communicate with advisors regularly on all matters regarding insights and technology developments.
Define the software architecture of the growing data analytics capability and build substantial portions yourself.
Requirements:

MS or PhD. Degree in relevant discipline (Math, Statistics, Computer Science, Engineering or Health Sciences) required.
3+ years’ experience in advanced analytics.
3+ years’ experience in a data architecture role with deep understanding of architecture principles &amp; best practices.
Experience delivering solutions in an Agile environment.
Working knowledge of the Hadoop ecosystem (including creating and debugging)
Preferred Qualifications:

Proficiency in fully architecting and executing complex analytical backends
Proficiency with Node.js and SQL; Expert proficiency in one or more programming languages such as Scala/Spark, Python, et al; Expert proficiency in at least one statistical modeling program like R, MATLAB, or SAS
Experience in machine learning, artificial intelligence and/or artificial neural networks
Proficiency in applying various mathematical and statistical models to include, but not limited to: Discrete Event Simulation, Factor Analysis, Genetic Algorithms, Bayesian Probability Models, Hidden Markov Models and Sensitivity Analysis
Ability to setup and maintain database for extremely large datasets using current database technologies (ex. Hadoop)
Strong experience in using application programming interfaces (API)
Proficient in the big data ecosystem with familiarity with Hadoop, Yarn, Spark, and/or Storm
Proficient in at least one big data store, for example: hBase, Cassandra, Hive, etc.
Demonstrated technical abilities to engineer products that large datasets, with tools that may include: Cluster computing, Grid Computing, Graphical Processing Unit Computing
Commercial Cloud Systems such as Amazon Elastic Cloud Compute EC2",104.0,"Atlanta, GA",33.7489954,-84.3879824
2,Data Scientist,Relus Cloud,"DATA SCIENTIST

SUMMARY:
As an Amazon Web Services (AWS) Premier Consulting Partner, Relus Cloud is a trusted advisor for companies across the country that seek to empower their business through cloud transformation. Our business is growing bigger every day and the Relus Cloud team is in need of Data Scientist to help support this growth by applying predictive technology to large volumes of data and against a wide spectrum of business challenges.

Reporting to the Sr. Director of Data and Analytics, the Data Scientist will join the only AWS Premier Consulting Partner headquartered in the Southeast and one of Atlanta’s top workplaces (check out our workplace awards from the AJC and Atlanta Business Chronicle) as we help our customers take advantage of the efficiencies, cost savings, and quick innovation available only in the cloud.

WHAT YOU'LL DO:
Understand the customer’s business need and guide them to a solution using Amazon ML and AI services
Assist customers by being able to deliver a ML/DL project from beginning to end, including understanding the business need, aggregating data, exploring data, building &amp; validating predictive models, and deploying completed models to deliver business impact to the organization
Use Deep Learning frameworks like MXNet, Caffe 2, Tensorflow, Theano, CNTK, and Keras to help our customers build DL models
Use SparkML and Amazon Machine Learning (AML) to help our customers build ML models
Assist customers with identifying model drift and retraining models
Research and implement novel ML and DL approaches, including using FPGA


OUR IDEAL CANDIDATE HAS:
A Bachelor's or Master's Degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent experience
Previous experience in a ML or data scientist role and a track record of building ML or DL models
Experience using Python and/or R
Knowledge of SparkML
Able to write production level code, which is well-written and explainable
Experience using ML libraries
Experience working with GPUs to develop models
Experience handling terabyte size datasets
Track record of diving into data to discover hidden patterns
Familiarity with using data visualization tools
Knowledge and experience of writing and tuning SQL


BENEFITS: Competitive compensation package, comprehensive medical/dental/vision plans, LTD/STD, 401K program, cell phone reimbursement, and excellent interactive training/mentoring programs

COMPANY SUMMARY: Relus Cloud helps customers prepare for growth, eliminate uncertainty, train their technical teams, and move faster in a cloud-first world. As an AWS Premier Consulting Partner, our core competencies are focused on Migrations, DevOps, and Data and Analytics, with an emphasis on strategy consulting, architecture and design, cloud migration, culture change, managed services, and talent delivery. For more information, visit www.reluscloud.com.",,"Atlanta, GA",33.7489954,-84.3879824
3,Data Scientist,Inspire Brands,"This position is critical to understanding drivers of Arby's current and future business performance in order to develop strategies and recommendations.

The Data Scientist will own the development of a sales forecasting model using numerous existing datasets. I.e., how much of Arby's sales performance is impacted by variables such as media spend, promotions, competitive data, year-on-year trends, external variables, and macroeconomic factors. The Data Scientist will also own the modeling and forecasting of additional key business metrics.
The outputs from these models will be used to develop business strategies and recommendations.

KEY RESPONSIBILITIES:
Statistical modeling -- develop models to describe the relationship between any business-relevant independent and dependent variables
Sales forecast development - analyze all available existing data sets to determine which variables are more predictive of Arby's sales performance
Identification of opportunities for process improvement and innovative solutions to business challenges
Data cleansing/processing -- work with IT to create automated processes to ingest and cleanse data from multiple data sources and vendors
Data management -- work with IT to develop and maintain databases that support marketing and sales analysis

EDUCATION QUALIFICATIONS:
Required Minimum: An undergraduate degree in Computer Science, Statistics, Engineering, Science, or Mathematics
Preferred: A graduate degree, Master's or PhD, in Computer Science, Statistics, Engineering, Science, or Mathematics

EXPERIENCE QUALIFICATION:
Required Minimum: 7+ years of practical experience with data mining and analytics, database structure and ETL, predictive modeling, machine learning, and statistical programming languages

REQUIRED KNOWLEDGE, SKILLS OR ABILITIES:
Deep expertise with statistical programming languages (e.g., R, python), database querying (SQL), and machine learning
Expertise with fundamental statistical analysis
Prior experience with non-theoretical ""messy"" datasets, i.e., datasets with missing values, inconsistent formatting, etc.
Ability to solve problems using data and clearly communicate the results
Personal integrity, humility, an appreciation for the power of true teamwork, and a sense of humor
Passion for the restaurant industry and desire to train in our restaurants to learn operations. A strong desire to help shape the future at Arby's
Minimal travel required",,"Atlanta, GA",33.7489954,-84.3879824
4,Data Scientist,Norfolk Southern Corp,"Join a growing Data Science and Advanced Analytics team at Norfolk Southern Corporation. The team is using latest cutting edge tools and technologies to develop analytics and solutions to solve business problems from various fields such as engineering, mechanical, communications, marketing &amp; finance.
Principal Duties:
Effectively utilize statistical, data mining, and machine learning techniques, and computer science skills in delivering advanced analytics and decision support systems.
Collaborates with various departments to identify opportunities for process improvement and developing analytics use-cases.
Job Related Experience:
Minimum Level: 1 year; preferred Level: 2+ years of relevant experience (e.g. analysist, statistician, data scientist, team lead) or proven qualifications
Education:
Preferred Level: Ph.D. and M.S
Preferred Majors: Computer and Information Sciences, Electrical Engineering, Engineering – Statistics, Engineering - Operations Research, Engineering - Systems Engineering, Mathematical Sciences - Applied Mathematics, Physics
Licenses / Certifications: Required: None listed, Preferred: None listed
Technical Skills:
Advanced machine learning techniques and algorithms, e.g. gradient boosting, random forests, neural networks, SVMs
Advanced statistical techniques, e.g. Bayesian, sampling and experimental design
Excellent knowledge in R and/or Python
Knowledge of big data and Hadoop-stack technologies, especially: Spark (preferably pyspark) and Hive
Knowledge of SQL and relational databases
Experience with sensor/signal data is a plus
Experience with image processing and Deep Learning is a plus
Skills and Abilities:
Planning and Organizing
Identifying and Considering Alternatives
Analytical Thinking
Communication Skills
Initiative



Work Conditions


Company Overview
Norfolk Southern Corporation (NYSE: NSC) is one of the nation’s premier transportation companies. Its Norfolk Southern Railway Company subsidiary operates approximately 19,500 route miles in 22 states and the District of Columbia, serves every major container port in the eastern United States, and provides efficient connections to other rail carriers. Norfolk Southern operates the most extensive intermodal network in the East and is a major transporter of coal, automotive, and industrial products.

We are a team of more than 28,000 employees working together to maintain our reputation as ""The Thoroughbred of Transportation"". As an industry leader, Norfolk Southern offers a competitive salary and an excellent benefits package.
Norfolk Southern is an equal opportunity employer including veterans and disabled.",722.0,"Atlanta, GA 30309 ",33.7971137,-84.3804888
5,Data Scientist,AirSage,"AirSage has been in the business of providing Population Level Mobility Analytics by processing Big Data since before the term was widely understood. We’ve always had to contend with billions of daily records and we have evolved from custom file system based queuing systems and manually partitioned compute clusters to using the current state of the art Big Data workhorses. Our latest systems have been built on Kafka, Cassandra, Accumulo and Spark on Yarn. We are moving to a hybrid infrastructure model with web APIs and customer portals on the cloud while keeping the core of our computing capacity on premises. We are seeking an experienced Data Scientist to help enhance the company's unique product offering using up to date Big Data technologies.

The Data Scientist is expected to have an active role in all stages of our application life cycle - from initial discussions regarding matching of analytical capabilities with new business cases, through initial implementation of new quantitative techniques, their testing and validation, to deployment and review of production results. The role requires working collaboratively with other functional areas outside of Software Development, particularly with Data Services but also with Operations.

Essential duties and responsibilities:
Analyzing, designing metrics and then evaluating and documenting very large data sets

Choosing and/or developing appropriate machine learning techniques to classify and identify meaningful geospatial/temporal features in data

Developing data driven models to quantify the value of a given data set

Prototyping techniques to solve complex data problems

Applying, modifying and inventing algorithms to solve challenging data and business problems

Documenting and presenting process and performance measurements

Experience following defined software development process: Perform documentation, design, code, and defect reviews

Conducting ROI and benefit analysis

Collaborate with our domain experts in our Data Services group to enhance our products coming from our R&amp;D team

Required skills:
Demonstrable experience in:
Survey and experiment design

Geospatial and temporal sampling techniques and analysis

Pattern recognition

Statistical Analysis

Passion for empirical research and for answering hard questions with information derived from data

10+ years of experience in Statistical Analysis

5 years of experience working with one of Matlab, SAS, R, S+ or Octave

Other highly valued skills:
Experience programming in Python and/or Scala

Experience with PyLab, Jupiter/Hue, Spark on Hadoop

Computer vision techniques

Time series analysis

Log parsing

Distributed key-value databases

Understanding of time zones and local time

Experience with PostgreSQL and PostGIS

GIS visualization Tools

Education/Experience Requirements :
MSc degree in Applied Statistics, Applied Math, or related quantitative discipline

3-5 years of experience in a similar role

Qualified candidates should respond to this Job Posting by submitting their resume, including their salary history and references. Please do not apply if you are not comfortable working in a fast-paced, entrepreneurial environment. Please, No head-hunters or agencies.

Our Company is an equal opportunity organization. We recruit, employ, train, compensate, and promote without regard to race, religion, creed, color, national origin, age, gender, sexual orientation, marital status, disability, veteran status, or any other basis protected by applicable federal, state or local law.",,"Atlanta, GA",33.7489954,-84.3879824
6,Data Scientist,SalesLoft,"We are looking for a Data Scientist who is passionate about using large data sets to answer tough business questions! You’ll collaborate with the product, engineering, and research departments to develop and employ predictive machine learning techniques for internal and external business needs. You must also be comfortable working with stakeholders and collaborating with team members to improve our product features through advanced statistical techniques and mathematical principles.

Responsibilities:

Apply advanced statistical techniques and concepts to analyze data from the company database (PostgreSQL), with Salesforce, and other unstructured data sources to drive optimization and improvement of product features, marketing messaging, and internal business processes
Develop custom data models/algorithms
Develop tools to analyze data accuracy and model performance
Leverage machine learning, natural language processing, and/or advanced statistical techniques
Coordinate across teams (product management, engineering, etc) timely and effectively
Possess a drive to learn and master new technologies and techniques
Contribute to the rapid growth of the research organization, being flexible in data engineering, algorithmist, and analyst responsibilities as they arise

Requirements:

Masters or PhD in CS, Mathematics, Statistics, or another quantitative field
Experience with machine learning, including natural language processing, probabilistic reasoning, and neural networks. Background in contemporary machine learning techniques, such as deep/differential learning, preferred.
Strong knowledge/experience with a variety of analysis tools, including Python, R, and SQL
Background in information retrieval, data mining, and ETL techniques for processing data
Experience working cross-organization to service the data analysis needs of different parts of the business

",7.0,"Atlanta, GA",33.7489954,-84.3879824
7,Data Scientist,McKesson,"RelayHealth Pharmacy Solutions (RHPS), a McKesson connectivity business, manages the nation’s largest pharmacy network, providing essential healthcare connectivity between more than 50,000 U.S. retail pharmacies and key healthcare stakeholders including physicians, health plans, pharmacy benefit managers (PBMs), government agencies and pharmaceutical manufacturers. Processing more than 17 billion healthcare transactions annually we play a key role in helping all healthcare providers streamline operational efficiency, improve medication accessibility and adherence and deliver value-added, cost effective clinical services that improve patient health and outcomes.

We understand the importance of a system that works together. Your expertise, drive and passion can help us carry out our mission to improve lives and advance healthcare.

Join our team of leaders to begin a rewarding career.

Current Need

McKesson's RelayHealth Pharmacy division has an opening for a Data Scientist in our Atlanta, GA North Druid Hills office.

Position Description

The data scientist will support the Sales, Product, Account Management and customers through the use of statistical models and visualizations. The Data Scientist will work closely with the Sales/Account Management and Product teams to understand their challenges and work to help them solve issues using data and interpretation of data. The team member will also be in charge of delivering standard sales models to the sales team. The individual will then build and maintain models that help with the execution and support of the various offerings at RelayHealth. It will be critical for this individual to be highly analytical but also be able to communicate the results and methodology effectively to all levels of the organization
Responsibilities
Develop and Improve current models used in the sales cycleDevelop new models and visualizations for new productsChallenge the status quo to drive improvement in processesDocument processes in the creation of modelsDeliver ad-hoc analysis requestsWork with Account Management, Sales and Product ManagementProcess Sales modelsManage Government exclusion data investigations

Qualifications


Minimum Requirements
Minimum of 2 years related experience

Critical Skills
Minimum of 2 years of experience using advanced analytical techniques to solve business problems
SQL LanguageAdvanced Microsoft ExcelStatistics or Mathematics experienceData MiningAbility to recognize and analyze trendsAbility to convey requirements to a technical and non-technical audienceAbility to communicate with a wide range of audiences, from executives who need the big picture to expert peers that want to learn from your workAbility to mine unstructured data

Additional Knowledge &amp; Skills
Excellent communication skills both verbal and written, to include interviewing internal and external parties including the ability to interview SME's and gather information to develop a solution
Resourceful and able to troubleshoot problems and work with required groups to resolve problemsPrepares and manipulates data for use in the development of statistical modelsHandles routine requests/projects and assists with more complex statistical/business/research issues and studiesExcellent project and time management skills to successfully navigate and complete multiple projects with multiple deadlines and stakeholdersInnovative with the ability to conceptualize and develop ideas and visionIndependent and a self-starterGreat intuition, curiosity, and skepticism when analyzing data

Education
Degree in Computer Science, Mathematics, Statistics, Engineering, or another relevant area or equivalent experience

Benefits &amp; Company Statement
We believe you should be rewarded for the important work you do. For that reason, you'll receive a competitive compensation and benefits package when you join our team.

It starts with you. That's a simple sentence but it says a lot. It reminds each one of us that what we do matters. Every single McKesson employee contributes to our mission - whatever your title, whatever your role, you act as a catalyst in a chain of events that helps millions of people all over the globe. By connecting and improving the business of healthcare, we're helping to ensure that millions of patients get the treatment they need. And by choosing a career with McKesson Pharmacy Systems &amp; Automation, you'll join a team of passionate people working together to improve lives and advance healthcare.

At McKesson, we believe we can empower healthcare. And it all starts with you.

Qualified applicants will not be disqualified from consideration for employment based upon criminal history.

McKesson is an equal opportunity and affirmative action employer - minorities/females/veterans/persons with disabilities.


Primary Location: United States-Georgia-Atlanta
Job: Research and Development
Organization: McKesson Rx Tech Solutions
Schedule: Regular
Shift: Standard
Job Type: Full-time
 Day Job
Job Posting: Jul 9, 2018",3558.0,"Atlanta, GA 30329",33.828105,-84.3279093
8,Data Scientist,The Intersect Group,"Responsibilities:Help to drive the analytical scope and method for projects, including formulating and shaping data integration, analytics methods and novel visualizationsImplementation of data science modeling techniques to support analysis using advanced methods from statistics, machine learning, data mining, econometricsUtilizing a diverse array of technologies and data science toolsets as needed, primarily Python &amp; Spark, but also Scala, Neo4j, Azure, R, Docker …Communicate ideas, approaches and results with peers and stakeholdersRequirements:- Mastery of Python and Spark for data science tasks (at least 3 years of intensive hands-on experience)- Advanced degree in a relevant discipline such as: Statistics, Applied Mathematics, Operations Research/Optimization, Computer Science, Computational/Theoretical Physics, Data Science/visualization, Machine Learning, Electrical/Computer Engineering or Health Sciences (e.g. Bioengineering /Bioinformatics)- Experience in extracting, cleaning, preparing and modeling data. Experience with command-line scripting, data structures, and algorithms.- Experience with sales &amp; marketing analytics- Strong presentation and communication skills towards peer data scientists and non-technical stakeholders- Ability to work individually and in teams- Experience with the healthcare / pharmaceutical industry is a plusHours per week: Full time10-12 monthStart date: as soon as possibleJob Types: Full-time, ContractExperience:Python: 3 yearsSpark: 3 yearsLocation:Atlanta, GA",29.0,"Atlanta, GA 30328",33.9253024,-84.38574419999999
9,Data Scientist,OM Partners,"With demand sensing, OM Partners is breaking through some boundaries of classical demand forecasting. The use of state of the art techniques like machine learning and neural networks allow for a step change in forecast accuracy, driving immediate value creation for our customers. By using these innovative functionalities, they are able to adjust their supply plans faster and more accurate.
Are you ready to join the demand driven revolution in supply chain? Are you passionate about finding patterns and correlations? Then apply for the position of (Senior) Data Scientist and join our product development team.
Your Challenge
As a (Senior) Data Scientist, you have only one aim: to provide innovative solutions for the customers’ challenging analytics and forecasting needs.
You analyze their needs, design a prototype, develop the model and optimize your solution. You support the customer throughout the entire implementation schedule. You work in close collaboration with the customer’s project team and you consultant colleagues working on the same project. You will visit our customers on a regular basis, about 30% of your time. Next to the project work you will be responsible for the design of solutions and the development of the products. You ensure that high-quality, well-tested and documented solutions are delivered. Your challenge is to collect and formulate the business requirements and translate them into functional requirements that can easily be fed into a technical design. Therefore, you work in close collaboration with the product manager and software engineers. You continuously improve the solutions and develop new functionalities. You validate these solutions and functionalities with the different stakeholders, and you implement and test the developments. Finally, you document the tools, and train and support your colleagues in the usage of the Solution. You participate in pre-sales to demonstrate functionality that meets the prospects goals and objectives.
Your Profile
Strong analytical skills and problem solving abilities, complemented with a university degree, are indispensable in this job. You have an entrepreneurial mindset in looking for innovative solutions for our customers’ analytics and forecasting problems. You are passionate about finding patterns and looking for correlations in big datasets. You take incomplete data as a challenge and use qualitative techniques to bridge the gap. A solid background in applied statistics (distributions, statistical testing, confidence intervals, machine learning, time series, …) is required. You have practical experience with time series analysis and forecasting (exponential smoothing, multivariate regression, ARIMA, …) to solve real-life business problems. You benefit from having experience in analyzing and implementing forecasting processes, as well as having working experience as an analyst or consultant for large multinational organizations. You are familiar with a statistical scripting language, preferably R. Basic knowledge of relational databases and SQL are a plus. You can present findings clearly to a non-technical audience, using different visualization techniques. You have an excellent command of at least two languages (Dutch, French, English or German). You are able to work autonomous and project based.

You can connect with the different stakeholders. You are fun to work with and a great team player!

Your Company?
OM Partners is a software and consulting company focused on Supply Chain Planning. As a company we have but one mission: to optimize our customer’s supply chain. We pride ourselves on developing innovative Advanced Planning Systems (APS) that meet and exceed expectations. Our customer base includes leading companies in different industries, such as ArcelorMittal, BASF, Dow, Johnson &amp; Johnson, Michelin, Shaw, Procter &amp; Gamble and Smurfit Kappa.
We are a growing international company with lots of opportunities for our people. We work from our offices in Belgium, the Netherlands, France, Germany, UK, USA, China, Brazil, Ukraine, UAE and India. Respect, team spirit and creativity are the cornerstones of our working culture.
Are you the right person for the challenge?",,"Atlanta, GA",33.7489954,-84.3879824
