position,company,description,numreview,location,Latitude,Longitude
Data Scientist,fractalanalytics,"<span id=""job_summary"" class=""summary""><div><p>As a Data Scientist, you solve complex challenges and identify new opportunities using a combination of analytical expertise, business acumen, strategic thinking, and project and relationship management skills.</p>
<p>RESPONSIBILITIES</p>
<ul><li>Integrate and mine large data sets, connecting data from disparate sources to identify insights and patterns using predictive and prescriptive analytics, and machine learning techniques</li>
<li>Conduct intermediate and advanced statistical analysis, such as linear regression, ANOVA, time-series analysis, classification models, neural networks, decision trees, as well as analysis of unstructured data (e.g., social media listening, digital footprints, speech analytics)</li>
<li>Prepare and present written and verbal reports, findings, and presentations to key stakeholders, distilling complex statistical information into easy-to-understand business language</li>
<li>Apply knowledge of U.S. businesses and corporate groups and relevant industry knowledge to analysis and insights</li>
<li>Manage project budgets and timelines, ensuring times and on-budget completion</li>
</ul><p>QUALIFICATIONS</p>
<ul><li>Experience analyzing large data sets using statistical software, such as SAS, R, Python, and SPSS, to discover new business insights</li>
<li>Excel and PowerPoint a must. SQL Programming and experience of at least one DBMS such as IBM DB2, Oracle, SQL Server or Sybase are required. Java strongly desired</li>
<li>Prior experience with building models, analyzing unstructured data, and/or machine learning</li>
<li>Relevant academic experience and work experience in Statistics, with exposure to data structures and data visualization</li>
<li>Master’s degree in Mathematics, Statistics, Engineering, Computer Science, or a quantitative discipline plus a minimum of 2-3 years of work experience, or bachelor’s degree plus 5 years work experience</li>
<li>Well developed written and oral communication skills, with ability to present and explain data to business manager</li>
<li>Strong project management skills / experience managing projects, budgets, and schedules to successful completion</li>
<li>Some prior exposure to financial services, Telecom or insurance industry desired</li></ul></div></span>",,"Jersey City, NJ",40.7177545,-74.0431435
Data Scientist,Blackboard Insurance,"<span id=""job_summary"" class=""summary""><div><p>We’re looking for a rogue Data Scientist who would push the boundaries of applying cutting-edge scientific methods and drive the development of innovative data-driven solutions within the insurance industry.</p>
<p><b>
But first, get to know us:</b></p>
<p>
We are Blackboard InsuranceSM: a group of tech-forward, seasoned insurance experts ready to make a real change in our industry. We believe there’s a better way to do commercial insurance – a way that starts with a clean slate, free from inefficiency and outdated technology. We’re building a state-of-the-art, tech-enabled platform that delivers faster underwriting and claims services, giving brokers and companies more time to focus on what’s important: building their businesses. If you’re ready to join the revolution, and work obsessively with us to make insurance better, faster, and more efficient, then come join us.
</p><p><b>We know this opportunity and environment won’t be right for everybody. But please get in touch if you have:</b></p>
<ul>
<li>Ph.D. in a scientific discipline (e.g., Applied Statistics/Mathematics, Computer Science, Engineering, or Physics).</li>
<li>3+ years industry experience post PHD</li>
<li>Scientific expertise and applied experience in Machine Learning.</li>
<li>Foundational knowledge of Natural Language Processing.</li>
<li>Knowledge of advanced statistical theories, methodologies, and inference tools (e.g., Bayesian inference, hierarchical models, deep learning, Gaussian processes, and causal inference).</li>
<li>Advanced programming skills in Python and/or R (and their related data processing, Machine Learning, and visualization libraries).</li>
<li>Practical experience in preparing data for Machine Learning.</li>
<li>The ability to work independently, anticipate problems, and forge a path into uncharted territory.</li>
<li>Excellent (written and oral) communication skills.</li>
</ul><p><b>As a Blackboard Data Scientist, here are some of the things you will do:</b></p>
<ul>
<li>Provide innovative solutions for business problems developed using rigorous scientific approaches.</li>
<li>Use data (including third party data) to fuel automation and decisions within our company.</li>
<li>Develop and employ AI algorithms that can find (predictive) patterns in large multi-modal data.</li>
<li>Work in highly cross-functional and collaborative teams together with developers, designers, analysts, underwriters and claims adjusters.</li>
<li>Take ownership of development and implementation of ideas and solutions.</li>
</ul> <p><b>As a member of the Blackboard Insurance team you will enjoy the thrill of turning the world of</b><br>
<b>insurance on its head as well as:</b></p>
<ul>
<li>A competitive salary.</li>
<li>401(k) employee matching program.</li>
<li>Medical, dental, vision, and life insurance.</li>
<li>Pre-tax commuter benefits.</li>
<li>Unlimited vacation days.</li>
<li>Casual dress code <i>(jeans are welcome).</i></li>
</ul>
<br>
<p>We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.</p></div></span>",,"New York, NY",40.7127753,-74.0059728
Data Scientist,Prudential,"<span id=""job_summary"" class=""summary""><div><div><p>If your skills reside at the intersection of analytics, technology, business and innovation, then we have a unique and exciting opportunity for you!
</p><p>Prudential Financial is looking for a motivated Data Scientist to join our diverse team of Engineers, Economists, Computer Scientists, Mathematicians, Physicists, Statisticians and Actuaries tasked with mining our industry-leading internal data to develop new analytics capabilities for our businesses.
</p><p>The role requires a rare combination of sophisticated analytical expertise; business acumen; strategic mindset; client relationship skills, project management; and a passion for generating business impact. This is an exciting opportunity to be a part of a strategic initiative that is evolving and growing over time.
</p><p>Primary responsibilities for this position include leading, designing, building, testing and presenting forward-thinking, high-impact Data Science projects focused on strategic business initiatives.
</p><p>Prudential Financial employs 48,000 across the US, Asia, Europe and Latin America providing insurance, investment management and other financial products that are vital to the wellbeing of our customers and their families in over 30 countries. Prudential is reinvigorating Newark’s downtown area with our new Prudential Tower and Hain building development. Newark is Prudential’s Global Headquarters with over 5,000 employees across four downtown locations. We’re located a short walk or shuttle ride from Newark’s Penn and Broad Street Stations: a direct train ride or short drive (with free parking) from most of Northern and Central New Jersey and New York City.
</p><p><b>Responsibilities:
</b></p><ul><li>Develop and maintain consultative relationships with key business stakeholders
</li><li>Identify, source, transform and join public, proprietary and internal data sources
</li><li>Model large structured and unstructured data sources (e.g. financial transactional, time-series, text, speech/audio and image)
</li><li>Implement advanced statistical methods for prediction and optimization including a wide variety of machine learning technologies (logit, regression, decision trees/forests, boosted models, clustering, etc.) for purposes including explorative analysis, survival analysis, segmentation, prediction and recommendation systems
</li><li>Perform analysis and implement solutions that maximize business impact
</li><li>Prepare and present written and verbal reports to key stakeholders
</li><li>Some domestic travel may be required
</li><li>Execute all aspects of an advanced analytical project under guidance
</li></ul></div><div><h2 class=""jobSectionHeader""><b>Qualifications
</b></h2><ul><li><p>Advanced degree (Masters or Ph.D.) in Mathematics, Statistics, Engineering, Econometrics, Physics, Computer Science, Actuarial, Data Science, or comparable quantitative disciplines
</p></li><li><p>Master’s degree graduates should additionally have at least one year of industry experience with responsibility for developing advanced quantitative, analytical, statistical solutions
</p></li><li><p>Hands-on experience applying a wide variety of statistical machine learning techniques to real world problems spanning analysis, predictive modeling and optimization on structured and unstructured data
</p></li><li><p>Experience using tools such as Python, R, Matlab, SAS, SPSS or equivalent for statistical modeling of large data sets
</p></li><li><p>Well-developed written and oral communication skills with ability to present complex statistical concepts to non-analytical stakeholders (Excel, Word and PowerPoint are a must)
</p></li><li><p>Software engineering experience in C/C++/C#/Java/Scala or similar object oriented or functional languages is highly regarded but not a prerequisite
</p></li><li><p>M.B.A. when combined with advanced quantitative degree is highly regarded but not a prerequisite
</p></li><li><p>Prior academic or industry research experience is highly regarded but not a prerequisite
</p></li><li><p>Prior exposure to financial services or insurance industry may be helpful but is not a prerequisite
 </p></li></ul></div><div>Prudential is a multinational financial services leader with operations in the United States, Asia, Europe, and Latin America. Leveraging its heritage of life insurance and asset management expertise, Prudential is focused on helping individual and institutional customers grow and protect their wealth. The company's well-known Rock symbol is an icon of strength, stability, expertise and innovation that has stood the test of time. Prudential's businesses offer a variety of products and services, including life insurance, annuities, retirement-related services, mutual funds, asset management, and real estate services.
<br>
<br>
We recognize that our strength and success are directly linked to the quality and skills of our diverse associates. We are proud to be a place where talented people who want to make a difference can grow as professionals, leaders, and as individuals. Visit www.prudential.com to learn more about our values, our history and our brand.
<br>
<br>
Prudential is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, genetics, disability, age, veteran status, or any other characteristic protected by law.
<br>
<br>
Note that this posting is intended for individual applicants. Search firms or agencies should email Staffing at staffingagencies@prudential.com for more information about doing business with Prudential.</div></div></span>","2,010 reviews","Newark, NJ",40.735657,-74.1723667
Data Scientist,"J.Crew Group, Inc.","<span id=""job_summary"" class=""summary""><b>Title:</b> Data Scientist
<br><b>Reports to:</b> VP – Analytics and Data Science
<br><b>Location:</b> NY Office
<br><br>
<b>Overview:</b> J.Crew is seeking data science candidates for our team of highly successful predictive analysts. If you have a passion for “wowing” business leaders with progressive analytics techniques, working with managers who “get” the work you are doing and support your efforts fully, consistently jumping into new projects focused on innovation rather than “minding the lever” of past projects, working alongside a highly professional and astute team with IT support that’s lightning fast to jump to your aid, then J.Crew is the place for you.
<br><br>
<b>Primary responsibilities include but are not limited to:</b><br>
Predictive Modeling
<br>Utilizing your algorithmic/programming toolkit, build predictive models to improve profitability, growth, retention and other such key performance indicators for our clients
<br>More specifically, apply algorithms equal or similar to the following: elastic net regularization for regression, random forests, generalized boosted models, generalized additive models, support vector machines, neural networks, and time-series forecasting.
<br>Implement formal modeling processes from end to end including data gathering, data profiling, numerical model building, calibration, cross-validation, putting product into production, etc.
<br>After building the models, pilot “scorecards” to track model performance and calculated improvement to business. Explain complex modeling approaches in layman’s terms and discuss modeling results and business case impacts with non-technical business users
<br><br>
Data Munging
<br>Collect data from a wide variety of corporate databases, including various SQL databases (Microsoft, Oracle, Netezza, etc.), no-SQL databases, Access databases, and Excel files
<br>Utilize your toolset in regular expressions to extract information from un-structured text documents
<br>Handle missing data through an algorithmic approach such as multiple imputations to enable insights in sparse and messy data.
<br>Use your inner whiz-kid to feature engineer the data to boost model accuracy
<br><br>
Education &amp; Experience Requirements
<br>Master’s degree in mathematics, business, statistics, economics, computer science or equivalent combination of education and experience.
<br>4 to 6 years of directly related experience
<br>Strongly motivated to be a player in a team which is constantly working to improve themselves through discovering new analytics techniques and software tools to improve the quality of our work
<br>Strong understanding and proficiency of predictive modeling techniques
<br>Superior research, statistical, analytical, processing and mathematical skills with ability to structure and conduct analyses
<br>Ability to engage in model discussions with co-workers and give feedback as required
<br>Proficiency in Microsoft Office Suite, SQL, and at least one of the following: SAS, R, and/or Python
<br>Strong verbal and written communication skills
<br>Adaptability and the capability of multi-tasking and strong time management
<br>Thrive in a fast‐paced, entrepreneurial environment comprised of high achievers and high client expectations
<br>Ability to work in a team environment and dynamically align to changing business conditions
<br><br>
J.Crew Group, Inc. is an Equal Employment Opportunity (EEO) Employer
<br>We are committed to affirmatively providing equal opportunity to all associates and qualified applicants without regard to race, color, ancestry, national origin, religion, sex, marital status, age, sexual orientation, gender identity or expression, legally protected physical or mental disability or any other basis protected under applicable law.</span>",760 reviews,"New York, NY 10003",40.7322535,-73.9874105
Data Scientist,Sweeten,"<span id=""job_summary"" class=""summary""><div><p>Join Sweeten, a fast growing, award-winning tech company based in New York City and founded by trained architects. We're a team of super ambitious and fun people who are fascinated by construction, design, and tech—and we're building the go-to marketplace for major renovations.
</p><p>As Sweeten’s first data scientist, you will chart the course for our data infrastructure and drive insights that lead to step-function improvements in how we connect renovators to construction professionals who are the best fit for each job. In this role, you will design and apply statistical models, build mission-critical dashboards, and help structure and order our data pipelines to enable machine learning at scale.
</p><p>Renovating is a complex undertaking. Our ideal candidate thrives in a collaborative, fluid environment and is comfortable learning new skills and working with unfamiliar technologies. We are looking for someone who loves to design technology that elegantly solves complex business problems and wants to apply their talents at a company that values creativity and problem-solving. We believe in our general contractors and we’re investing in their potential with world-class tools to help them get more renovation work done more successfully. Our data scientist will also serve our internal teams with information and resources that help us all get great work done at increasing scale. Sweeten’s tech is ultimately people-focused, and we’re looking for a new team member who wants to be a part of this picture.</p><p><b>
RESPONSIBILITIES</b></p><ul>
<li>Set up, maintain, and scale our data analytics infrastructure.</li>
<li>Work closely with product, marketing, and sales teams to develop new and improved platform products.</li>
<li>Build interactive dashboards that guide day-to-day operations, planning, and strategic decision-making.</li>
<li>Build machine-learning models that power core operations, such as matching algorithms and lead quality assessment.</li>
<li>Translate business constraints and product management queries into data science questions and experimental design.</li>
<li>Consider ways we can test, track, measure, and optimize across systems.</li>
<li>Innovate fearlessly while looking for ways to keep things simple.
</li></ul><p><b>Requirements</b></p><ul>
<li>1-3+ years of industry experience in data-science broadly</li>
<li>skills as a full-stack data scientist; equally proficient in software development, machine learning, big data, and visualization</li>
<li>strong Python / Pandas skills</li>
<li>proficiency in SQL</li>
<li>experience with Git, Heroku, AWS</li>
<li>pacesetter who wants to set the standard, self-directed, organized, and committed to innovation</li>
<li>passion for or interest in learning about design, real estate, and renovation</li>
<li>a relentless drive and a collaborative spirit</li>
<li>knowledge of statistics (clustering, regression, etc.) and experimental design a plus</li>
<li>experience working with deep learning / neural network models (using TensorFlow, Keras) a plus</li>
<li>experience with Docker, Dash, Plotly or other analytical web applications a plus</li>
</ul><p><b>Benefits</b></p><p>
We offer competitive compensation, exciting growth opportunities, fully-funded health plans, 401(k) options, fly Sweeten swag (all designed in-house), and weekly catered team lunches. Sweeten deeply values diversity and individuality, and is committed to creating a work environment where creativity, ideas, interests, and varied perspectives are valued and central to the success of our team. If you're interested in joining our team, we encourage you to apply! Be sure to include a cover letter that lets us know why this position sounds like a great fit for you and how you’ll succeed at Sweeten.</p></div></span>",,"New York, NY",40.7127753,-74.0059728
Data Scientist,"Edison Software, Inc.","<span id=""job_summary"" class=""summary"">The Role
<br>Machine-driven investment strategies are only as good as their data. As traditional investment firms move towards quantamental investing and quantitative investment firms increasingly weave AI-driven strategies into their investment approach, the need for non-traditional financial data is growing at an astounding pace. The amount of money buy-side firms spend on alternative data is expected to grow from $400 million in 2017 to $1.7 billion in 2020. Within this space, email receipt data is becoming an increasingly essential part of firms’ data-driven workflow.
<br><br>
Armed with our rich, up-to-the-minute, behavioral dataset, you will play a key role in the global race for financial firms to adopt data-driven investment strategies. Your insights will have the power to inform essential strategic decisions at the largest hedge funds and banks in the world, and your research has the potential to shape the most nascent, but most exciting, field of quantitative finance. You will be an essential contributor to a Silicon Valley-based startup expanding its cutting edge, AI-driven email processing techniques to the world of financial technology in New York City.
<br><br>
You
<br>You are deeply curious and thrive on seeing your ideas applied in the real world. You creatively and passionately work through problems with no clear-cut textbook solution, even if it means persevering through multiple iterations before you arrive at your solution. You are a strong advocate for well grounded science and data best practices within the company. You are expert at extracting signal out of flawed data to make valid inferences. And you are quick to learn, implementing new approaches when facing questions that demand it.
<br><br>
You are fascinated and energized by cutting-edge, data-driven techniques increasingly utilized in the world of quantitative finance. You are excited to leverage your data science skills to play a key role in the growing financial technology industry in New York City. You can imagine yourself thriving in the fast-paced, highly experimental environment of a data science startup.
<br><br>
Requirements
<br><br>
Skills
<br><ul>
<li>Ability to extract data from varied stores (t-sql, hadoop) and write code for models that can stand up to large datasets (python, spark)</li>
<li>Creative thinker excited by the prospect of ideating and evaluating experiments</li>
<li>Background in time series analysis and interest in time series-related machine learning research</li>
<li>PhD in Statistics, Math, Economics, Machine Learning, AI, Finance, Financial Engineering, related discipline or equivalent experience</li>
<li>Excited by a high learning curve in the field of financial technology</li>
<li>Excellent written and oral communicator of data-driven findings</li>
</ul>
Compensation and Benefits
<br><ul>
<li>Highly competitive salary and benefits</li>
<li>Stock grants pre-IPO at a company backed by top investors</li>
<li>Take unlimited, responsible vacation</li>
<li>Great office in Midtown</li>
<li>Opportunity for professional development (conferences, peer reviewed papers)</li>
<li>Trips to sunny California!</li>
</ul>
About Us
<br>Edison provides intelligent email solutions for users and competitive intelligence for businesses. The largest, most valuable and as yet untapped data on earth is in mail; 3x larger than the worldwide web. Through our user base of more than 3 million users in the United States, we empower investors, brands, and technology companies to understand trends in the marketplace and gain deep insights into consumer behavior patterns.
<br><br>
As a team, we’re collaborative, engaged, and committed to continually improving as we serve our mission. None of us are on an island-- we trust our teammates to lend a hand when we’re stuck and our egos take a backseat to figuring out the best approach to tackling problems. We’re energized by tough problems and are excited to know that a challenge ahead of us does not have a textbook solution. Finally, we’re always in a posture of learning-- there is a lot we do not know but that does not hold us back from making an attempt at solutions. We lead thorough blameless postmortems to become better analysts, scientists, and leaders.</span>",,"New York, NY",40.7127753,-74.0059728
Data Scientist,Organic,"<span id=""job_summary"" class=""summary""><div><p>We’re looking for a data scientist with unlimited curiosity and a desire to solve interesting, complex problems. You’ll evaluate large data sets through quantitative analysis, modeling, and visualization to help us build better products and services for our clients.</p>
<p>This is a unique opportunity in a creative space. Everyone on our team is a creative contributor. We take new ideas and turn them into prototypes, and prototypes are turned into full solutions. In addition to ideating, you’ll be helping with a wide-range of data science skill-sets: visual AI and analysis, natural language processing, recommendation engines, and experimental design. Your expertise in one or more of these areas will allow us to move in new directions and create great customer experiences.</p>
<p><b>We’re looking for someone who:</b></p>
<ul><li>Perform data exploration, statistical analysis, and modeling on existing data</li></ul>
<ul><li>Work with and develop ML models for various purposes (visual recognition, natural language, etc)</li></ul>
<ul><li>Identify opportunities to obtain and analyze new data sets with our existing clients</li></ul>
<ul><li>Present research and findings to team to influence future projects</li></ul>
<ul><li>Be willing to step out of your comfort zone and dive headlong into new areas you may have never explored before.</li></ul>
<p><b>Education and Work Experience:</b></p>
<ul><li>You've obtained an advanced degree in a scientific (natural, social, computer) field or related area and/or 4 years of experience in a data science role.</li></ul>
<ul><li>At least 2 years experience with computer vision and/or natural language processing.</li></ul>
<ul><li>You have a deep understanding of machine learning algorithms and proven experience with neural networks.</li></ul>
<ul><li>You have strong coding skills in a statistical/modeling language including: Python/R/C++</li></ul>
<ul><li>Your project portfolio has algorithms written in one of the following frameworks: Tensorflow/(Py)Torch/Keras/Caffe(2)</li></ul>
<ul><li>Experience with database technology/query languages (SQL/Hive/etc)</li></ul>
<ul><li>Ability to collaborate closely with multiple teams across with a wide range of technical backgrounds</li></ul>
<ul><li>Curiosity to bring technical solutions to challenges in the creative space</li></ul>
<ul><li>Strong interpersonal skills</li></ul>
<ul><li>Experience hosting models with cloud services (AWS, Google, etc) a plus</li></ul></div></span>",32 reviews,"New York, NY",40.7127753,-74.0059728
Data Scientist,Northwestern Mutual Life Insurance Company,"<span id=""job_summary"" class=""summary""><div><p><b>At Northwestern Mutual, we believe relationships are built on trust.</b> That our lives and our work matter. These beliefs launched our company nearly 160 years ago. Today, they're just a few of the reasons why people choose to build careers at Northwestern Mutual.</p><p><b>
We're strong and growing.</b> In a company with such a long and storied history, this may be the most exciting and important time to be a part of Northwestern Mutual. We're strong, innovative and growing.</p><p><b>
We invest in our people. </b>We provide opportunities for employees to grow themselves, their career and in turn, our business.</p><p><b>
We care. </b>We make a positive difference in our communities. Nationally, thousands have benefitted from our support of research and programs to fight childhood cancer. Each year, our Foundation, employees and financial representatives donate time, talent and financial support to causes they're passionate about.</p><br>
<p><i>
We are an equal opportunity/affirmative action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender identity or expression, sexual orientation, national origin, disability, age or status as a protected veteran, or any other characteristic protected by law.</i></p><br>
<p><b>
Responsibilities:</b></p><ul><li>
Development of prototype solutions, mathematical models, algorithms, machine learning techniques, and robust analytics to support analytic insights and visualization of complex data sets for productization and monetization</li><li>
Drive innovation by exploring new experimentation methods and statistical techniques that could sharpen or speed up our product decision-making processes</li><li>
Develop and deploy testing hypotheses and analyze test results, providing the necessary analytical rigor to ensure data quality, consistency, repeatability, and accuracy of insights</li></ul><br>
<p><b>
Qualifications:</b></p><ul><li>
2+ years of professional experience with a proven track record of leveraging data science to drive significant business impact or to develop data/algorithm based products</li><li>
Bachelor's degree in Statistics, Mathematics, Operations Research, Computer Science, Econometrics or related field</li><li>
Statistical knowledge and intuition - ideally utilized in A/B testing</li><li>
Experience with distributed databases and query languages like Hive, Spark, Scala, or Pig</li><li>
Programming experience with a scripting language such as Python, Perl, Java, or Ruby</li><li>
Experience writing high performance compiled code, ideally in C++</li><li>
Proficiency with a statistical analysis tool such as R or SAS</li><li>
Machine learning experience</li><li>
Ability to tell a story with data – What does the analysis tell you? What do you think the business should do next? Why do you think what is happening, is happening? Ability to influence others with the story of what you’re seeing in the data to make business recommendations</li><li>
Excellent time and project management skills, with the ability to manage detail work and communicate project status effectively to all levels</li><li>
Proven track record in meeting aggressive deadlines</li></ul><br>
<p><b>
Preferred Education:</b></p><p>
PhD or MS degree in Statistics, Mathematics, Operations Research, CS, Econometrics or related field</p><br>
<p><b>
Req ID:</b> 23429<br>
<b>Position Type:</b> Regular Full Time<br>
<b>Education Experience:</b> Bachelor's Required<br>
<b>Employment Experience:</b> 3-5 years<br>
<b>Licenses/Certifications:</b><br>
<b>FLSA Status:</b> Exempt<br>
<b>Posting Date:</b> 07/24/2018</p></div></span>","2,203 reviews","New York, NY 10003",40.7322535,-73.9874105
Data Scientist,Hanweck Associates,"<span id=""job_summary"" class=""summary""><div><p><b>Overview:</b></p>
<p>
Our New York office is looking for an experienced Data Scientist who is looking for a new challenge in the financial technology services industry. Hanweck operates a large scale data environment with petabytes of market and analytic data, and generates real-time data in time-frames from milliseconds to minutes. This is an opportunity to work within a team of people with experience in financial markets, computer and data science, and with a keen interest in discovering new sources of information for financial markets.</p>
<p><b>
Responsibilities:</b></p>
<ul>
<li>The role is focused on collecting and analyzing financial market data (pricing/reference data and corporate actions such as dividends, stock splits, and symbol changes) and managing the processes and quality control around the data</li>
<li>Extract and transform datasets for investigation; Design, perform, and review research studies using historical data to test new data series for information content and predictive power; Generate visualizations for data exploration and internal and external presentation.</li>
<li>Monitor and improve processes for collecting and processing data from original sources and vendors, downloading from vendors or web scrapping</li>
<li>Work with quantitative developers to monitor and improve the quality of analytical data generated from our applications; develop/work with application developers, designers and product managers to add or modify reference data sources</li>
<li>Work with product managers and business development team to write documentation, technical specifications, project plans and sales material for our data and applications</li>
<li>Assess business requirements, and work with the developers and product managers to translate these requirements into functional specifications and project plans</li>
<li>Work with developers and product managers to guide project schedule and functionality</li>
<li>Develop of familiarity of the company’s products and services is important to the success of this role</li>
<li>Ad-hoc analysis and reporting as requested</li>
</ul><p><b>Education:</b><b> </b>BA/BS in STEM field</p>
<p><b>
Experience:</b><br>
</p>
<ul><li>Minimum 3 years of experience in financial markets (market data, reference data, risk); internships count towards experience</li>
<li>Must have experience with corporate actions, securities reference data and derivatives reference data, including futures and options contracts</li>
<li>Working knowledge with fundamental statistical concepts including Bayesian modeling and hypothesis testing; and, techniques such as linear regression, principal components (PCA), tree models, time series modeling such as GARCH</li>
<li>Must have experience using SQL Server/MySQL; strong programming skills (Java/C++); and working knowledge of R, Python/NumPy, MatLab, or similar language for working with data and performing scientific computing</li>
<li>Hands-on experience working with project schedules, prioritizing tasks, and meeting deadlines in global team based projects</li>
</ul><p><b>Specific Skills:</b></p>
<ul>
<li>Quantitative background with interest in financial markets, corporate actions and market data a must</li>
<li>Highly analytical, attention to detail, and quantitative mind, capable of translating analytical insights into actions</li>
<li>Demonstrate ability to work as a self-starter requiring limited supervision</li>
<li>Ability to multi-task, prioritize and manage time effectively, in a deadline driven environment</li>
<li>Flexibility to fit into a small organization, strong interpersonal and team skills are a must</li>
</ul><p><b>Why Hanweck?</b></p>
<p>
At Hanweck there is tremendous potential to learn, grow and seek advancement, while also contributing to policies, decisions, and the direction of the company. We offer extremely competitive compensation and benefits, and provide a highly open, honest, and fun work environment.</p>
<p><i>
Our company is committed to </i><i>equal</i><i> employment opportunity. We will not discriminate against employees or applicants for employment on any legally-recognized basis [""protected class""] including, but not limited to: age, race, gender, pregnancy, religion or creed, color, national origin, sexual orientation, disability, genetic characteristics, military or veteran status, uniform service member status or any other protected class under federal, state or local law.</i></p></div></span>",,"New York, NY 10004",40.7038704,-74.0138541
Data Scientist,Parsec Media,"<span id=""job_summary"" class=""summary""><div><p>We’re looking for a Data Scientist to join our team in NYC. Proficiency with Python and a mastery of SQL are key, as well as an understanding of machine learning techniques.</p>
<p>As Data Scientist, you'll be joining a team that values collaboration and creativity. We encourage people to learn and put their skills to the test. The ideal candidate has strong attention to detail and is passionate about research that tackles complex problems.
</p><p><b>What you’ll do:</b></p>
<ul><li>Work with our Head of Data Science to formulate Parsec’s data into a clear and concise story
</li><li>Help to develop and quickly test optimization models in production code</li>
<li>Support campaign management teams with data-driven insights based on millions of behavioral data points each day
</li></ul><p><b>Why this job is important:</b>
</p><p>Parsec’s time-based data allows for a more efficient and transparent ad marketplace, cutting down on waste and prioritizing user experience. You’ll be working with hundreds of millions of data points a day, quickly iterating the optimization methods that further campaign efficiency and effectiveness and fuel the world’s first attention-based platform.
</p><p><b>What you’ll learn:</b></p>
<p>You’ll become an expert in manipulating massive amounts of data, influencing decision making within tens of milliseconds. Working cross-functionally with engineering, client services, marketing, and sales, you’ll learn to interpret raw, early-stage data and form compelling narratives, communicating our story and mission as the first attention-based marketplace.
</p><p><b>Requirements</b></p><ul>
<li>Fluency with Python and a strong understanding of relevant libraries (including scikit-learn, NumPy, SciPy, pandas, etc.)</li>
<li>Strong SQL skills and experience working with large data stores</li>
<li>Experience in statistical analysis and machine learning techniques</li>
<li>Experience working with bayesian methods</li>
</ul><p><b>Nice to have:
</b></p><ul><li>Previous adtech or data science experience</li>
<li>PhD in Psychology, Physics, Statistics, Neuroscience, or MS in Data Science or Math plus 2 years experience</li>
<li>Strong written communication skills and an interest in publishing results</li>
</ul><h3 class=""jobSectionHeader""><b>About Parsec:</b></h3><p>
Parsec is the first marketplace for advertising sold on attention metrics. We're making a positive impact on digital media by addressing the root causes of waste and fraud with incentives for relevant and high-quality advertising.</p><p>
Parsec was created by a group of senior advertising execs and seasoned entrepreneurs who've built agencies, digital publishers and ad tech companies.</p><p>
We're headquartered in NYC and have offices in Los Angeles, Chicago and London.</p><p><b>
Benefits</b></p><p>
This is an opportunity to work with a smart team in a fast-paced environment using cutting-edge technology to transform one of the most inefficient markets in the world - digital advertising.</p><p>
We offer equity, benefits, competitive pay and a strong company culture.</p><p><i>
Parsec is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.</i></p></div></span>",,"New York, NY",40.7127753,-74.0059728
